track-name,artist,album-name,album-artist-name,disc-number,track-number,track-duration,explicit,popularity,artist-genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time-signature,label,album-release-year,decade,chords
Perfect,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,5,263400.0,False,85.0,"pop,singer-songwriter pop,uk pop",0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,Atlantic Records UK,2017,2010,
Remember The Name (feat. Eminem & 50 Cent),Ed Sheeran,No.6 Collaborations Project,Ed Sheeran,1,8,206443.0,False,32.0,"pop,singer-songwriter pop,uk pop,detroit hip hop,hip hop,rap,east coast hip hop,gangster rap,hip hop,pop rap,queens hip hop,rap",0.863,0.649,11.0,-7.194,0.0,0.156,0.196,0.0,0.782,0.76,91.018,4.0,Atlantic Records UK,2019,2010,
Runaway,Ed Sheeran,x (Deluxe Edition),Ed Sheeran,1,9,205133.0,False,53.0,"pop,singer-songwriter pop,uk pop",0.767,0.449,8.0,-7.158,0.0,0.0364,0.024,0.000299,0.151,0.908,95.03,4.0,Atlantic Records UK,2014,2010,
Dark Times,Ed Sheeran,Beauty Behind The Madness,The Weeknd,1,12,260640.0,True,0.0,"canadian contemporary r&b,canadian pop,pop,pop,singer-songwriter pop,uk pop",0.585,0.421,7.0,-9.593,1.0,0.0707,0.106,9.54e-06,0.14,0.24,132.986,3.0,Universal Music Group,2015,2010,
She,Ed Sheeran,5,Ed Sheeran,3,5,244653.0,False,40.0,"pop,singer-songwriter pop,uk pop",0.573,0.344,9.0,-10.91,1.0,0.0361,0.811,0.0,0.13,0.377,157.783,3.0,Gingerbread Man Records,2014,2010,
Visiting Hours,Ed Sheeran,Visiting Hours,Ed Sheeran,1,1,215506.0,False,1.0,"pop,singer-songwriter pop,uk pop",0.471,0.396,8.0,-6.654,1.0,0.0336,0.77,0.0,0.0729,0.263,149.609,4.0,Atlantic Records/Asylum,2021,2020,
2step (feat. Budjerah),Ed Sheeran,2step (feat. Budjerah),"Ed Sheeran, Budjerah",1,1,153426.0,False,34.0,"pop,singer-songwriter pop,uk pop,australian indigenous music,australian r&b",0.727,0.621,4.0,-4.784,0.0,0.0555,0.212,0.0,0.114,0.565,94.958,4.0,Atlantic Records UK,2022,2020,
New York,Ed Sheeran,x - Wembley Edition,Ed Sheeran,1,19,235960.0,False,37.0,"pop,singer-songwriter pop,uk pop",0.728,0.461,6.0,-8.726,1.0,0.0395,0.707,0.0,0.113,0.474,86.014,4.0,Atlantic Records UK,2015,2010,
Growing Up (feat. Ed Sheeran),Ed Sheeran,This Unruly Mess I've Made,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis",1,5,305240.0,False,53.0,"pop rap,seattle hip hop,pop rap,seattle hip hop,pop rap,pop,singer-songwriter pop,uk pop",0.74,0.549,9.0,-7.072,1.0,0.303,0.178,0.0,0.114,0.469,85.16,4.0,Macklemore,2016,2010,
Dive,Ed Sheeran,÷ (Deluxe),Ed Sheeran,1,3,238440.0,False,71.0,"pop,singer-songwriter pop,uk pop",0.761,0.386,4.0,-6.158,1.0,0.0399,0.355,0.0,0.0953,0.526,134.943,3.0,Atlantic Records UK,2017,2010,
